time_s,setpoint,true_speed,raw_measurement,filtered_measurement,control_output,error,jitter_ms,sensor_delay_ms,overrun
1.052210,40.000000,7.841719,5.962452,1.342832,40.828224,38.657168,0.894435,26,0
1.061885,40.000000,8.739186,7.372544,2.000044,39.253093,37.999956,0.569255,16,0
1.071685,40.000000,9.622851,7.948154,2.648363,39.667433,37.351637,0.368740,12,0
1.082439,40.000000,10.486383,9.044577,3.345522,39.846481,36.654478,1.122761,8,0
1.092338,40.000000,11.240767,11.294485,4.874087,36.889831,35.125913,1.022265,6,0
1.101992,40.000000,12.130711,11.294485,4.874087,42.388799,35.125913,0.675858,6,0
1.111759,40.000000,12.839766,14.938628,6.492639,36.947638,33.507361,0.443346,2,0
1.121393,40.000000,13.692186,14.938628,6.492639,42.674485,33.507361,0.076722,2,0
1.132180,40.000000,14.545143,14.938628,6.492639,43.545677,33.507361,0.864429,2,0
1.142026,40.000000,15.347088,10.707601,6.952052,42.613214,33.047948,0.709677,30,0
1.151686,40.000000,16.088057,15.294060,7.861295,41.281011,32.138705,0.369720,4,0
1.161408,40.000000,16.806581,16.292753,8.780287,41.236381,31.219713,0.092396,8,0
1.172311,40.000000,17.606538,16.292753,8.780287,44.805071,31.219713,0.994525,8,0
1.181947,40.000000,18.406831,16.292753,8.780287,45.616784,31.219713,0.630989,8,0
1.191698,40.000000,19.100332,17.541612,9.735234,42.679376,30.264766,0.382332,30,0
1.201437,40.000000,19.768558,18.715610,10.714056,42.488244,29.285944,0.120609,15,0
1.212279,40.000000,20.523346,18.715610,10.714056,46.186145,29.285944,0.963347,15,0
1.221937,40.000000,21.151020,21.126441,11.848961,42.491943,28.151039,0.621421,21,0
1.231735,40.000000,21.756912,21.830662,12.936923,42.357245,27.063077,0.418528,4,0
1.241395,40.000000,22.351197,21.742152,13.896655,42.556864,26.103345,0.078929,17,0
1.252190,40.000000,22.898844,24.636842,15.067289,41.518838,24.932711,0.874399,7,0
1.261904,40.000000,23.435568,24.402710,16.084810,41.684205,23.915190,0.587579,11,0
1.271586,40.000000,23.991674,21.831913,16.711219,42.899278,23.288781,0.269999,7,0
1.282350,40.000000,24.602884,21.831913,16.711219,45.384014,23.288781,1.034393,7,0
1.292097,40.000000,25.083603,27.370915,17.873080,41.428057,22.126920,0.781128,14,0
1.301811,40.000000,25.666613,27.370915,17.873080,45.488940,22.126920,0.494615,14,0
1.311503,40.000000,26.139767,26.840327,18.850471,42.227002,21.149529,0.187373,19,0
1.322295,40.000000,26.698890,26.840327,18.850471,45.709063,21.149529,0.978598,19,0
1.332148,40.000000,27.040636,25.712025,20.786010,38.660026,19.213990,0.831564,2,0
1.341777,40.000000,27.552795,25.712025,20.786010,44.966206,19.213990,0.461149,2,0
1.351551,40.000000,27.885598,27.752098,22.381751,39.200890,17.618249,0.235330,5,0
1.362426,40.000000,28.303778,26.878647,22.871893,42.521889,17.128107,1.109574,10,0
1.372227,40.000000,28.764746,26.878647,22.871893,44.437647,17.128107,0.911106,10,0
1.381947,40.000000,29.225266,26.878647,22.871893,44.882977,17.128107,0.631217,10,0
1.391683,40.000000,29.607452,29.243555,23.566377,42.601765,16.433623,0.366736,21,0
1.402415,40.000000,30.050453,29.243555,23.566377,45.112491,16.433623,1.098552,21,0
1.412161,40.000000,30.422668,29.319375,24.193429,43.077959,15.806571,0.845383,25,0
1.421895,40.000000,30.799553,28.298060,24.640816,43.613644,15.359184,0.578838,7,0
1.431670,40.000000,31.215427,28.298060,24.640816,45.355144,15.359184,0.354326,7,0
1.441612,40.000000,31.630828,28.298060,24.640816,45.754483,15.359184,0.296109,7,0
1.451408,40.000000,31.948729,32.578013,25.505936,42.757359,14.494064,0.091857,29,0
1.462211,40.000000,32.342467,32.578013,25.505936,45.729566,14.494064,0.894659,29,0
1.471946,40.000000,32.636964,33.583564,26.386362,42.649857,13.613638,0.630240,21,0
1.481605,40.000000,33.008625,33.583564,26.386362,45.645091,13.613638,0.289174,21,0
